Game_ID,Team,Season,Date,Game,Pts_For_Avg,Pts_Agst_Avg,Rebs_Tot_Avg,Rebs_Off_Avg,Rebs_Def_Avg,Blks_Avg,STL_Avg,FGA_Avg,FGM_Avg,FG_PCT_Avg,FTA_Avg,FTM_Avg,FT_PCT_Avg,FG3M_Avg,FG3_PCT_Avg,PF_Avg
0020100148,Atlanta,2001,2001-11-20,11,90.6,97.3,43.8,12.1,31.7,4.5,7.2,78.2,33.6,43.2%,26.3,19.9,76.3%,3.5,31.8%,21.2
0020100154,Atlanta,2001,2001-11-21,12,91.6,98.1,43.9,12.2,31.7,4.5,7.1,79.3,34.2,43.3%,25.3,19.2,76.6%,4.1,32.7%,21.4
0020100172,Atlanta,2001,2001-11-23,13,91.7,97.0,43.8,11.8,32.0,5.0,6.8,78.9,34.0,43.3%,25.3,19.1,76.0%,4.6,33.7%,21.1
0020100186,Atlanta,2001,2001-11-24,14,92.8,97.2,43.2,11.5,31.7,4.8,7.0,78.8,34.7,44.2%,24.5,18.7,77.3%,4.7,35.3%,21.0
0020100193,Atlanta,2001,2001-11-26,15,92.4,97.0,43.1,11.5,31.6,4.9,7.4,78.9,34.7,44.2%,24.1,18.4,77.5%,4.6,33.9%,20.8
0020100205,Atlanta,2001,2001-11-28,16,91.8,96.4,42.5,11.4,31.1,4.6,7.4,78.4,34.4,44.0%,23.8,18.3,78.3%,4.7,33.9%,20.7
0020100214,Atlanta,2001,2001-11-29,17,92.3,96.9,42.2,11.4,30.8,4.6,7.6,78.1,34.4,44.2%,24.4,18.9,78.5%,4.6,33.9%,20.9
0020100227,Atlanta,2001,2001-12-01,18,93.1,96.9,42.5,11.4,31.1,4.8,7.6,78.1,34.6,44.5%,24.5,19.1,78.9%,4.6,33.8%,20.8
0020100256,Atlanta,2001,2001-12-05,19,93.6,97.3,42.3,11.5,30.8,4.6,7.6,78.2,34.8,44.6%,24.9,19.3,78.6%,4.7,34.5%,20.5
0020100269,Atlanta,2001,2001-12-07,20,94.6,98.5,42.0,11.4,30.6,4.4,7.9,78.9,35.2,44.8%,24.9,19.5,78.9%,4.7,34.1%,20.9
0020100275,Atlanta,2001,2001-12-08,21,94.6,100.0,41.6,11.4,30.2,4.3,7.9,79.0,35.2,44.6%,24.8,19.4,79.1%,4.9,34.6%,21.2
0020100293,Atlanta,2001,2001-12-11,22,95.1,100.2,41.6,11.3,30.3,4.1,7.9,79.3,35.5,44.8%,25.0,19.4,78.5%,4.8,34.3%,21.3
0020100323,Atlanta,2001,2001-12-15,23,94.9,99.6,41.5,11.3,30.2,4.1,7.9,79.6,35.6,44.8%,24.3,18.9,78.3%,4.8,34.0%,21.0
0020100341,Atlanta,2001,2001-12-18,24,94.2,98.7,41.6,11.3,30.3,4.1,7.7,79.3,35.3,44.6%,24.4,18.9,78.1%,4.7,33.5%,20.9
0020100350,Atlanta,2001,2001-12-19,25,94.5,98.9,41.4,11.4,30.0,4.1,7.8,79.5,35.5,44.7%,24.3,18.8,77.9%,4.8,34.0%,21.0
0020100361,Atlanta,2001,2001-12-21,26,93.7,99.0,41.6,11.9,29.7,4.2,7.9,79.9,35.2,44.2%,24.1,18.6,77.7%,4.6,33.4%,20.8
0020100371,Atlanta,2001,2001-12-22,27,93.3,98.8,41.3,11.7,29.7,4.2,7.9,79.8,35.0,44.0%,24.0,18.6,77.9%,4.7,33.3%,20.9
0020100391,Atlanta,2001,2001-12-26,28,93.6,98.4,41.6,11.7,29.9,4.3,7.9,80.0,35.1,44.0%,24.1,18.6,77.7%,4.7,33.3%,20.7
0020100401,Atlanta,2001,2001-12-27,29,93.7,98.8,41.7,11.8,29.9,4.2,7.7,80.2,35.2,44.0%,24.1,18.7,77.9%,4.7,33.0%,20.6
0020100420,Atlanta,2001,2001-12-29,30,93.9,98.7,41.5,11.6,29.9,4.3,7.7,79.9,35.0,43.9%,24.5,19.1,78.3%,4.8,33.3%,20.7
0020100452,Atlanta,2001,2002-01-04,31,94.0,99.1,41.6,11.6,30.0,4.3,7.7,80.2,35.1,43.8%,24.6,19.1,78.0%,4.8,33.4%,20.7
0020100457,Atlanta,2001,2002-01-05,32,94.6,99.5,41.5,11.6,30.0,4.4,7.8,80.3,35.2,44.0%,25.0,19.3,77.8%,4.9,34.2%,21.0
0020100481,Atlanta,2001,2002-01-08,33,94.7,99.8,41.3,11.4,29.9,4.4,7.9,80.3,35.2,44.0%,24.8,19.2,77.9%,5.1,34.3%,21.2
0020100489,Atlanta,2001,2002-01-09,34,94.9,99.6,41.1,11.1,30.0,4.3,8.0,80.1,35.3,44.2%,24.8,19.2,78.2%,5.1,34.4%,21.0
0020100501,Atlanta,2001,2002-01-11,35,94.6,99.9,41.1,11.3,29.8,4.3,8.1,80.6,35.2,43.9%,24.6,19.1,78.0%,5.1,34.6%,20.9
0020100510,Atlanta,2001,2002-01-12,36,94.5,99.8,41.1,11.2,29.9,4.3,8.3,80.4,35.1,43.7%,24.8,19.3,78.1%,5.2,34.5%,20.8
0020100529,Atlanta,2001,2002-01-15,37,94.4,100.2,41.4,11.4,30.1,4.3,8.2,80.6,35.0,43.6%,24.8,19.3,78.1%,5.1,33.9%,20.9
0020100545,Atlanta,2001,2002-01-17,38,94.8,100.6,41.6,11.5,30.2,4.3,8.2,80.6,35.1,43.7%,25.1,19.5,78.0%,5.0,34.0%,20.9
0020100559,Atlanta,2001,2002-01-19,39,94.7,100.4,41.7,11.6,30.1,4.3,8.1,80.6,35.1,43.7%,24.9,19.3,78.0%,5.1,34.0%,20.9
0020100572,Atlanta,2001,2002-01-21,40,95.0,100.8,41.7,11.7,30.0,4.4,8.1,80.8,35.3,43.8%,24.9,19.4,78.1%,5.1,34.0%,20.9
0020100583,Atlanta,2001,2002-01-22,41,95.0,100.6,41.7,11.7,30.0,4.4,8.2,80.9,35.3,43.8%,24.9,19.4,78.1%,5.1,34.0%,20.9
0020100608,Atlanta,2001,2002-01-25,42,94.8,100.6,41.5,11.6,29.8,4.3,8.2,80.8,35.3,43.9%,24.7,19.2,78.0%,5.0,34.0%,20.8
0020100617,Atlanta,2001,2002-01-26,43,94.7,100.7,41.5,11.7,29.8,4.3,8.3,80.8,35.3,43.8%,24.7,19.2,77.9%,4.9,33.6%,21.0
0020100628,Atlanta,2001,2002-01-29,44,94.3,100.8,41.4,11.7,29.7,4.3,8.3,80.6,35.1,43.6%,24.9,19.3,77.9%,4.8,33.5%,21.0
0020100638,Atlanta,2001,2002-01-30,45,94.3,101.4,41.4,11.9,29.5,4.3,8.4,81.0,35.2,43.6%,24.6,19.1,77.5%,4.8,34.0%,21.0
0020100648,Atlanta,2001,2002-02-01,46,93.8,101.1,41.3,11.9,29.4,4.2,8.4,80.8,35.0,43.5%,24.5,18.9,77.2%,4.8,34.0%,21.2
0020100660,Atlanta,2001,2002-02-02,47,93.7,101.0,41.4,11.9,29.5,4.3,8.3,80.6,35.1,43.6%,24.3,18.7,76.9%,4.8,34.1%,21.1
0020100680,Atlanta,2001,2002-02-05,48,93.9,100.9,41.3,11.8,29.5,4.2,8.3,80.5,35.1,43.7%,24.4,18.7,76.8%,4.9,34.8%,21.1
0020100694,Atlanta,2001,2002-02-07,49,93.5,100.3,41.3,11.7,29.5,4.2,8.3,80.2,34.9,43.6%,24.5,18.8,76.8%,4.9,34.6%,21.1
0020100700,Atlanta,2001,2002-02-12,50,93.4,100.1,41.2,11.6,29.6,4.2,8.4,80.1,34.9,43.7%,24.3,18.7,76.8%,4.9,34.7%,21.0
0020100730,Atlanta,2001,2002-02-15,51,93.6,100.2,41.2,11.6,29.6,4.2,8.3,80.1,34.9,43.7%,24.6,18.9,76.8%,4.9,34.9%,21.0
0020100744,Atlanta,2001,2002-02-17,52,93.6,100.0,41.1,11.5,29.7,4.3,8.3,80.0,34.9,43.7%,24.6,19.0,77.1%,4.9,34.5%,21.1
0020100757,Atlanta,2001,2002-02-19,53,93.7,99.8,41.3,11.5,29.8,4.3,8.3,80.2,35.0,43.7%,24.6,18.9,77.0%,4.9,34.6%,21.3
0020100774,Atlanta,2001,2002-02-21,54,93.5,99.8,41.3,11.5,29.8,4.3,8.3,80.3,34.9,43.6%,24.4,18.8,76.8%,4.9,34.5%,21.2
0020100781,Atlanta,2001,2002-02-22,55,93.2,99.7,41.2,11.5,29.7,4.3,8.2,80.2,34.8,43.4%,24.5,18.8,76.7%,4.9,34.3%,21.2
0020100797,Atlanta,2001,2002-02-24,56,93.2,99.7,41.3,11.5,29.8,4.3,8.2,80.2,34.7,43.4%,24.5,18.9,76.8%,4.9,34.1%,21.2
0020100813,Atlanta,2001,2002-02-27,57,93.2,99.4,41.3,11.5,29.8,4.3,8.2,80.0,34.7,43.5%,24.4,18.8,76.8%,4.9,34.3%,21.2
0020100832,Atlanta,2001,2002-03-02,58,92.9,99.4,41.2,11.5,29.8,4.3,8.2,80.0,34.7,43.5%,24.3,18.6,76.6%,4.9,34.1%,21.1
0020100849,Atlanta,2001,2002-03-04,59,92.8,99.1,41.1,11.5,29.6,4.3,8.2,80.1,34.7,43.5%,24.1,18.5,76.3%,4.9,34.0%,21.1
0020100853,Atlanta,2001,2002-03-05,60,92.8,98.7,41.0,11.4,29.6,4.3,8.2,79.9,34.8,43.6%,23.9,18.3,76.3%,4.9,34.3%,21.2
0020100886,Atlanta,2001,2002-03-09,61,92.9,98.8,41.0,11.4,29.7,4.3,8.2,80.0,34.9,43.7%,23.8,18.2,76.1%,4.9,34.3%,21.2
0020100901,Atlanta,2001,2002-03-11,62,92.9,99.0,40.9,11.4,29.5,4.3,8.2,80.0,34.9,43.7%,23.6,18.1,76.1%,4.9,34.4%,21.1
0020100917,Atlanta,2001,2002-03-13,63,93.3,98.9,41.0,11.5,29.5,4.3,8.1,80.3,35.1,43.9%,23.5,18.0,76.2%,5.0,34.5%,21.2
0020100929,Atlanta,2001,2002-03-15,64,93.5,99.0,40.9,11.4,29.5,4.3,8.1,80.2,35.2,44.0%,23.6,18.0,76.2%,5.0,34.8%,21.2
0020100945,Atlanta,2001,2002-03-17,65,93.7,98.8,41.0,11.5,29.5,4.4,8.1,80.1,35.2,44.0%,23.7,18.2,76.3%,5.1,35.1%,21.1
0020100961,Atlanta,2001,2002-03-19,66,93.3,98.6,41.0,11.5,29.6,4.3,8.2,80.1,35.1,43.9%,23.6,18.1,76.1%,5.0,34.7%,21.1
0020100972,Atlanta,2001,2002-03-21,67,93.4,98.6,41.0,11.4,29.6,4.3,8.2,80.0,35.1,44.0%,23.7,18.2,76.2%,5.0,34.6%,21.0
0020100987,Atlanta,2001,2002-03-23,68,93.8,98.4,41.1,11.4,29.7,4.3,8.2,80.1,35.3,44.1%,23.6,18.1,76.3%,5.0,34.8%,21.0
0020100999,Atlanta,2001,2002-03-24,69,94.0,98.4,41.1,11.4,29.7,4.3,8.2,80.1,35.4,44.3%,23.6,18.1,76.3%,5.0,35.1%,21.0
0020101011,Atlanta,2001,2002-03-26,70,94.1,98.7,41.1,11.5,29.6,4.3,8.2,80.2,35.5,44.3%,23.6,18.1,76.4%,5.1,35.2%,20.9
0020101025,Atlanta,2001,2002-03-28,71,94.3,98.3,41.1,11.4,29.6,4.3,8.2,80.2,35.5,44.4%,23.6,18.1,76.5%,5.1,35.3%,20.9
0020101035,Atlanta,2001,2002-03-29,72,94.1,98.2,41.1,11.4,29.7,4.3,8.3,80.2,35.5,44.3%,23.6,18.1,76.4%,5.1,35.2%,20.9
0020101049,Atlanta,2001,2002-03-31,73,93.9,98.1,41.1,11.4,29.6,4.3,8.2,80.0,35.3,44.2%,23.7,18.1,76.3%,5.1,35.2%,20.9
0020101061,Atlanta,2001,2002-04-02,74,93.9,98.0,41.2,11.4,29.8,4.2,8.2,80.1,35.4,44.2%,23.5,18.0,76.4%,5.1,35.2%,20.9
0020101077,Atlanta,2001,2002-04-04,75,94.0,97.9,41.2,11.4,29.8,4.2,8.2,80.2,35.4,44.2%,23.5,18.0,76.4%,5.2,35.5%,20.9
0020101095,Atlanta,2001,2002-04-06,76,94.0,97.9,41.1,11.3,29.8,4.2,8.1,80.1,35.4,44.3%,23.5,18.0,76.2%,5.2,35.6%,20.9
0020101106,Atlanta,2001,2002-04-08,77,93.9,97.8,41.2,11.4,29.8,4.2,8.1,80.2,35.3,44.2%,23.5,18.0,76.3%,5.2,35.3%,20.9
0020101125,Atlanta,2001,2002-04-10,78,93.9,97.9,41.3,11.5,29.8,4.2,8.1,80.3,35.4,44.1%,23.5,18.0,76.1%,5.2,35.7%,20.9
0020101138,Atlanta,2001,2002-04-12,79,94.0,97.8,41.2,11.5,29.7,4.2,8.1,80.2,35.4,44.2%,23.6,18.1,76.3%,5.2,35.8%,20.8
0020101147,Atlanta,2001,2002-04-13,80,93.8,98.0,41.0,11.5,29.6,4.2,8.1,80.1,35.3,44.1%,23.5,18.0,76.4%,5.2,35.6%,20.8
0020101169,Atlanta,2001,2002-04-16,81,94.2,98.3,41.2,11.6,29.7,4.2,8.1,80.5,35.4,44.1%,23.6,18.1,76.5%,5.2,35.6%,20.8
0020101176,Atlanta,2001,2002-04-17,82,94.2,98.4,41.4,11.6,29.8,4.2,8.1,80.6,35.5,44.1%,23.6,18.1,76.2%,5.2,35.4%,20.9
0020200008,Atlanta,2002,2002-10-30,1,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0%,0.0,0.0,0.0%,0.0,0.0%,0.0
0020200019,Atlanta,2002,2002-10-31,2,94.0,105.0,34.0,11.0,23.0,13.0,14.0,84.0,37.0,44.0%,21.0,15.0,71.4%,5.0,31.3%,23.0
0020200032,Atlanta,2002,2002-11-02,3,99.5,101.5,36.5,11.5,25.0,9.5,11.5,80.0,38.0,47.7%,25.5,19.5,75.7%,4.0,26.4%,25.0
0020200058,Atlanta,2002,2002-11-05,4,99.0,98.3,40.7,12.3,28.3,9.0,8.7,80.0,36.7,45.9%,28.0,22.0,77.7%,3.7,30.1%,23.3
0020200066,Atlanta,2002,2002-11-06,5,100.0,95.5,41.8,13.3,28.5,8.5,9.8,79.0,37.3,47.3%,26.8,21.8,81.1%,3.8,30.9%,24.3
0020200079,Atlanta,2002,2002-11-08,6,97.6,95.0,43.2,13.8,29.4,8.4,10.4,79.2,36.8,46.6%,24.8,19.8,79.0%,4.2,30.4%,22.8
0020200094,Atlanta,2002,2002-11-10,7,97.5,97.5,40.2,12.5,27.7,8.2,10.2,77.8,36.3,46.8%,24.7,20.0,80.4%,4.8,36.5%,23.7
0020200106,Atlanta,2002,2002-11-12,8,97.4,98.6,41.3,12.4,28.9,7.7,9.9,78.7,36.4,46.4%,24.4,19.7,80.1%,4.9,36.8%,23.4
0020200130,Atlanta,2002,2002-11-16,9,97.1,96.6,43.0,12.3,30.8,7.3,9.0,78.1,35.9,46.0%,25.1,20.5,81.0%,4.9,35.8%,22.8
0020200145,Atlanta,2002,2002-11-18,10,96.2,95.0,44.1,12.1,32.0,7.7,8.9,77.7,35.4,45.7%,25.7,20.4,79.4%,4.9,36.1%,22.4
0020200158,Atlanta,2002,2002-11-20,11,98.3,94.7,43.7,12.3,31.4,7.4,8.6,78.5,36.8,46.8%,24.7,19.9,80.8%,4.8,36.5%,22.3
0020200169,Atlanta,2002,2002-11-22,12,97.8,95.5,43.6,12.3,31.4,7.2,8.1,79.1,36.5,46.2%,25.0,19.9,80.0%,4.8,35.1%,22.4
0020200180,Atlanta,2002,2002-11-23,13,97.8,96.3,44.2,12.2,32.0,7.5,8.3,80.2,36.5,45.6%,25.1,19.9,79.7%,4.9,34.4%,22.8
0020200200,Atlanta,2002,2002-11-26,14,97.9,97.2,44.2,12.0,32.2,6.9,8.2,79.3,35.8,45.1%,26.1,21.0,80.5%,5.4,36.0%,23.5
0020200212,Atlanta,2002,2002-11-27,15,99.4,98.6,44.9,12.6,32.4,6.7,7.9,79.5,36.1,45.5%,26.9,21.5,80.1%,5.6,37.5%,23.6
0020200218,Atlanta,2002,2002-11-29,16,99.1,99.1,44.3,12.7,31.6,6.3,7.8,79.3,36.1,45.5%,26.9,21.3,79.5%,5.6,38.0%,23.3
0020200231,Atlanta,2002,2002-11-30,17,99.1,98.8,44.8,12.7,32.1,6.4,7.8,79.1,35.7,45.1%,27.9,22.3,79.8%,5.4,37.5%,23.3
0020200250,Atlanta,2002,2002-12-03,18,98.7,99.8,44.9,13.0,31.9,6.3,7.8,80.0,35.8,44.8%,27.2,21.7,79.8%,5.4,36.5%,23.0
0020200267,Atlanta,2002,2002-12-05,19,97.2,99.1,45.2,13.3,31.9,6.5,8.2,80.0,35.4,44.3%,27.1,21.1,77.6%,5.3,36.2%,23.0
0020200279,Atlanta,2002,2002-12-07,20,97.3,98.1,45.1,13.3,31.7,6.5,8.3,79.8,35.6,44.7%,26.6,20.7,77.6%,5.3,35.8%,22.6
0020200310,Atlanta,2002,2002-12-11,21,97.1,97.8,45.1,13.2,31.9,6.4,8.1,79.3,35.6,44.9%,26.7,20.9,78.0%,5.2,35.7%,22.7
0020200457,Atlanta,2002,2002-12-12,22,96.3,97.5,45.2,13.0,32.2,6.4,8.0,78.9,35.3,44.8%,26.2,20.6,78.5%,5.1,35.8%,22.7
0020200327,Atlanta,2002,2002-12-14,23,96.2,98.2,44.8,13.1,31.7,6.3,7.8,79.2,35.4,44.8%,25.6,20.1,78.5%,5.3,36.2%,22.8
0020200350,Atlanta,2002,2002-12-17,24,95.9,98.3,44.8,13.0,31.7,6.3,7.7,79.3,35.3,44.6%,25.4,19.9,78.0%,5.4,36.0%,22.5
0020200376,Atlanta,2002,2002-12-20,25,96.0,98.8,44.4,13.0,31.5,6.1,7.7,79.0,35.2,44.6%,25.8,20.2,78.0%,5.4,35.9%,22.6
0020200381,Atlanta,2002,2002-12-21,26,95.4,98.9,44.6,13.2,31.4,6.2,7.5,79.4,35.2,44.4%,25.1,19.6,77.4%,5.4,35.7%,22.5
0020200299,Atlanta,2002,2002-12-23,27,94.8,98.0,44.2,12.8,31.4,6.2,7.7,79.1,35.0,44.3%,25.0,19.4,77.2%,5.4,36.0%,22.3
0020200409,Atlanta,2002,2002-12-27,28,94.9,98.6,43.7,12.6,31.1,6.2,7.6,78.9,35.0,44.5%,25.0,19.4,77.3%,5.4,35.9%,22.4
0020200418,Atlanta,2002,2002-12-28,29,94.4,97.9,43.5,12.6,30.9,6.2,7.6,78.8,35.0,44.5%,24.5,19.1,77.3%,5.3,36.0%,22.4
0020200435,Atlanta,2002,2002-12-30,30,93.8,97.4,43.6,12.5,31.1,6.1,7.5,78.8,34.8,44.3%,24.1,18.8,77.5%,5.3,35.8%,22.5
0020200448,Atlanta,2002,2003-01-01,31,93.4,97.2,43.4,12.4,31.0,6.1,7.4,78.6,34.6,44.1%,24.1,18.9,77.7%,5.4,36.0%,22.5
0020200466,Atlanta,2002,2003-01-04,32,92.8,97.5,43.1,12.2,30.8,5.9,7.3,78.2,34.3,43.9%,24.2,18.9,77.8%,5.3,35.5%,22.7
0020200481,Atlanta,2002,2003-01-06,33,92.6,97.3,42.9,12.2,30.8,5.9,7.5,78.0,34.2,43.9%,24.3,19.0,77.9%,5.2,34.6%,22.8
0020200495,Atlanta,2002,2003-01-08,34,92.6,97.4,42.7,12.2,30.5,5.8,7.6,78.0,34.1,43.8%,24.4,19.2,78.0%,5.2,34.7%,23.2
0020200508,Atlanta,2002,2003-01-10,35,92.8,98.0,42.8,12.3,30.5,5.7,7.6,78.3,34.2,43.7%,24.4,19.1,77.9%,5.2,34.5%,22.9
0020200518,Atlanta,2002,2003-01-11,36,92.5,97.3,42.9,12.3,30.6,5.7,7.5,78.1,34.1,43.6%,24.6,19.3,78.0%,5.1,34.1%,23.0
0020200540,Atlanta,2002,2003-01-14,37,92.4,96.9,42.9,12.2,30.8,5.8,7.5,77.9,34.0,43.7%,24.6,19.3,78.0%,5.1,34.4%,23.0
0020200542,Atlanta,2002,2003-01-15,38,92.3,96.9,42.9,12.2,30.7,5.6,7.4,77.7,34.0,43.8%,24.6,19.2,77.8%,5.0,34.1%,22.8
0020200560,Atlanta,2002,2003-01-17,39,91.6,96.6,43.1,12.3,30.8,5.6,7.4,77.7,33.9,43.6%,24.4,18.9,77.0%,4.9,33.2%,22.8
0020200567,Atlanta,2002,2003-01-18,40,91.6,96.8,43.0,12.2,30.8,5.5,7.4,77.8,34.0,43.7%,24.2,18.8,76.9%,4.9,33.9%,22.8
0020200578,Atlanta,2002,2003-01-20,41,91.6,96.8,43.1,12.2,31.0,5.6,7.4,77.9,34.1,43.7%,24.1,18.7,76.9%,4.9,33.8%,22.8
0020200596,Atlanta,2002,2003-01-22,42,91.9,97.2,43.0,12.1,30.9,5.5,7.3,77.8,34.1,43.9%,24.2,18.8,77.0%,4.9,34.2%,22.7
0020200610,Atlanta,2002,2003-01-24,43,92.3,97.6,43.2,12.3,31.0,5.6,7.3,78.3,34.2,43.8%,24.5,18.9,76.7%,5.0,34.1%,22.9
0020200619,Atlanta,2002,2003-01-25,44,92.8,97.7,43.2,12.2,31.0,5.4,7.4,78.5,34.4,43.9%,24.4,18.9,77.0%,5.1,34.6%,23.0
0020200637,Atlanta,2002,2003-01-28,45,93.0,97.8,43.3,12.2,31.0,5.5,7.5,78.7,34.5,43.8%,24.6,19.1,77.1%,5.0,34.4%,23.0
0020200643,Atlanta,2002,2003-01-29,46,93.2,97.9,43.2,12.3,30.9,5.4,7.5,78.7,34.5,43.9%,24.6,19.2,77.3%,5.1,34.6%,23.0
0020200660,Atlanta,2002,2003-01-31,47,93.2,97.6,43.2,12.3,31.0,5.4,7.5,78.5,34.5,44.0%,24.7,19.3,77.4%,5.1,34.7%,22.9
0020200679,Atlanta,2002,2003-02-02,48,93.3,97.4,43.1,12.2,30.8,5.4,7.6,78.4,34.4,44.0%,24.9,19.4,77.4%,5.1,34.7%,22.9
0020200684,Atlanta,2002,2003-02-03,49,93.4,97.3,43.3,12.2,31.1,5.5,7.5,78.3,34.4,44.0%,24.9,19.4,77.5%,5.1,34.7%,22.7
0020200711,Atlanta,2002,2003-02-11,50,93.1,97.3,43.3,12.1,31.1,5.5,7.4,78.2,34.4,44.1%,24.6,19.2,77.5%,5.0,34.6%,22.7
0020200721,Atlanta,2002,2003-02-12,51,93.5,97.7,43.3,12.1,31.2,5.5,7.5,78.5,34.7,44.2%,24.5,19.1,77.7%,5.0,34.8%,22.7
0020200733,Atlanta,2002,2003-02-14,52,93.5,97.7,43.4,12.2,31.2,5.6,7.4,78.6,34.7,44.2%,24.4,19.1,77.7%,5.0,35.1%,22.8
0020200753,Atlanta,2002,2003-02-16,53,93.6,97.7,43.5,12.2,31.3,5.8,7.4,78.8,34.7,44.1%,24.6,19.1,77.5%,5.1,35.2%,22.8
0020200766,Atlanta,2002,2003-02-18,54,93.7,97.5,43.5,12.2,31.3,5.8,7.4,78.7,34.7,44.1%,24.6,19.2,77.7%,5.1,35.3%,23.0
0020200799,Atlanta,2002,2003-02-22,55,93.4,97.6,43.6,12.3,31.3,5.8,7.5,78.7,34.5,43.9%,24.9,19.3,77.6%,5.0,34.9%,22.9
0020200804,Atlanta,2002,2003-02-23,56,93.3,97.4,43.6,12.3,31.3,5.8,7.5,78.7,34.5,43.9%,24.9,19.4,77.6%,5.0,35.0%,22.8
0020200819,Atlanta,2002,2003-02-25,57,93.3,97.7,43.7,12.4,31.3,5.8,7.5,78.9,34.4,43.7%,25.0,19.5,77.8%,5.0,35.1%,22.9
0020200829,Atlanta,2002,2003-02-26,58,93.2,97.6,43.5,12.3,31.2,5.8,7.5,78.8,34.4,43.7%,24.9,19.4,77.5%,5.1,35.3%,22.8
0020200840,Atlanta,2002,2003-02-28,59,92.9,97.5,43.4,12.2,31.2,5.8,7.4,78.6,34.3,43.7%,24.8,19.4,77.8%,5.0,35.1%,22.7
0020200853,Atlanta,2002,2003-03-02,60,93.2,97.3,43.4,12.2,31.2,5.8,7.4,78.7,34.5,43.8%,24.6,19.2,77.9%,5.1,35.2%,22.7
0020200865,Atlanta,2002,2003-03-04,61,93.2,97.7,43.4,12.2,31.2,5.8,7.3,78.6,34.4,43.8%,24.7,19.3,77.9%,5.1,35.5%,22.6
0020200875,Atlanta,2002,2003-03-05,62,93.2,97.5,43.3,12.1,31.2,5.8,7.4,78.6,34.4,43.9%,24.6,19.2,77.9%,5.1,35.5%,22.5
0020200892,Atlanta,2002,2003-03-08,63,93.5,97.6,43.2,12.1,31.1,5.8,7.5,78.5,34.5,44.0%,24.7,19.4,78.1%,5.1,35.6%,22.5
0020200910,Atlanta,2002,2003-03-10,64,93.5,97.8,43.2,12.1,31.1,5.8,7.4,78.6,34.6,44.1%,24.7,19.4,77.9%,5.0,35.2%,22.4
0020200924,Atlanta,2002,2003-03-12,65,93.6,97.6,43.2,12.1,31.1,5.8,7.4,78.5,34.5,44.0%,25.0,19.6,78.0%,5.0,35.1%,22.4
0020200935,Atlanta,2002,2003-03-14,66,93.8,97.5,43.1,12.0,31.1,5.7,7.4,78.5,34.7,44.2%,24.8,19.5,78.1%,5.0,35.4%,22.4
0020200952,Atlanta,2002,2003-03-16,67,94.0,97.6,43.0,11.9,31.1,5.7,7.4,78.4,34.7,44.3%,25.0,19.6,78.2%,5.0,35.4%,22.4
0020200965,Atlanta,2002,2003-03-18,68,94.0,98.0,42.9,11.9,30.9,5.6,7.5,78.6,34.7,44.2%,25.0,19.7,78.2%,4.9,34.9%,22.3
0020200972,Atlanta,2002,2003-03-19,69,93.8,98.1,42.8,11.9,30.9,5.6,7.4,78.4,34.6,44.2%,25.0,19.7,78.2%,4.9,34.5%,22.3
